ERIC PRYDZ,1,1,PJANOO,1,2009
CHASE,2,1,TAKE ME AWAY,1,2009
CHASE,3,1,PIECES,1,2009
PLATNUM,4,2,LOVE SHY,1,2009
X-PRESS 2,5,4,LAZY,1,2009
BROOKES BROTHERS,6,1,TEAR YOU DOWN/DRIFTER,1,2009
OUTSIDERS,7,6,KEEP THIS FIRE BURNING,1,2009
J MAJIK,8,2,CRAZY WORLD,1,2009
SASH,9,2,RAINDROPS,1,2009
TC,10,8,DEEP/ROBOTS,1,2009
CHASE,11,1,HURT YOU/SELL ME YOUR SOUL,1,2009
CHRISTIAN FALK,12,2,DREAM ON,1,2009
UTAH SAINTS,13,1,SOMETHING GOOD '08,1,2009
ALEX GAUDINO,14,2,WATCH OUT,1,2009
BASSHUNTER,15,7,ANGEL IN THE NIGHT,1,2009
UNCREDITED ARTIST,16,11,NEED A FIX,1,2009
FERRY CORSTEN,17,1,PUNK,1,2009
HIGH CONTRAST,18,4,BASEMENT TRACK,1,2009
PENDULUM,19,1,TARANTULA/FASTEN YOUR SEATBELT,1,2009
ALEX GAUDINO,20,1,DESTINATION CALABRIA,1,2009
BENGA,21,1,NIGHT,1,2009
WILEY,22,1,WEARING MY ROLEX,1,2009
SUB FOCUS,23,1,TIMEWARP/JOIN THE DOTS,1,2009
SHAPESHIFTERS,24,24,LOLA�S THEME,1,2009
DAVID GUETTA,25,3,TOMORROW CAN WAIT,1,2009
HIGH CONTRAST,26,12,RETURN OF FOREVER,1,2009
AXWELL,27,1,FEEL THE VIBE,1,2009
LONDON ELEKTRICITY,28,4,HANGING ROCK,1,2009
CHASE,29,3,DUPPY MAN,1,2009
SUB FOCUS,30,12,VERANO/ARACHNOPHOBIA,1,2009
KLAXONS,31,12,GRAVITY'S RAINBOW,1,2009
FEDDE LE GRAND,32,1,PUT YOUR HANDS UP FOR DETROIT,1,2009
PENDULUM,33,2,BLOOD SUGAR/AXLE GRINDER,1,2009
SIMIAN MOBILE DISCO,34,2,HUSTLER,1,2009
FREEMASONS,35,2,WHEN YOU TOUCH ME,1,2009
BASSHUNTER,36,3,ALL I EVER WANTED,1,2009
DJ Q,37,4,YOU WOT,1,2009
KIDDA,38,7,UNDER THE SUN,1,2009
