id,track,artist,artist,month,year,posThen,posHighest,duration,tempo,timeSignature,mode,key,loudness,danceability,energy
0xXfG13aA486OBoKij2LjD,PJANOO,ERIC PRYDZ,ERIC PRYDZ,1,2009,1,1,208627,130.011,4,0,3,-7.579,0.623,0.869
2Yu3G2JKjuDzM5xNBXej48,LAZY,X-PRESS 2,X-PRESS 2,1,2009,5,4,383413,123.01,4,0,10,-8.356,0.832,0.536
0nYrJmcOqwSBMmOVkItFyp,KEEP THIS FIRE BURNING,OUTSIDERS,OUTSIDERS,1,2009,7,6,327453,128.975,4,0,7,-4.12,0.569,0.889
5k3tR3MwW6OzNTGokW2p9C,DREAM ON,CHRISTIAN FALK,CHRISTIAN FALK,1,2009,12,2,185747,121.464,4,1,4,-6.003,0.664,0.888
4DnFClNZsS1bpSis2QdAeW,ANGEL IN THE NIGHT,BASSHUNTER,BASSHUNTER,1,2009,15,7,338640,144.987,4,1,8,-7.07,0.665,0.942
2UewG8cjdnzq9cMF01dU4M,BASEMENT TRACK,HIGH CONTRAST,HIGH CONTRAST,1,2009,18,4,385239,173.033,4,0,11,-8.161,0.599,0.726
4CeQHIPEytC9paQSLMOn4C,DESTINATION CALABRIA,ALEX GAUDINO,ALEX GAUDINO,1,2009,20,1,413373,128.029,4,1,2,-4.603,0.641,0.958
3fVAmE4uRiy2OG394XOEit,FEEL THE VIBE,AXWELL,AXWELL,1,2009,27,1,453543,127.997,4,0,11,-3.295,0.67,0.996
3TUaUWAgaShhrHkYReSQsa,ALL I EVER WANTED,BASSHUNTER,BASSHUNTER,1,2009,36,3,333800,149.981,4,1,4,-6.799,0.58,0.999
1rrVwHrEZPj6kcOnC1TmIv,UNDER THE SUN,KIDDA,KIDDA,1,2009,38,7,313600,128.041,4,1,2,-9.68,0.751,0.753
5FEXPoPnzueFJQCPRIrC3c,DAY 'N' NITE,KID CUDI,KID CUDI,2,2009,1,1,221267,138.035,4,0,11,-6.362,0.878,0.446
11HwAfBm3pROR9wXaYcJUa,EVERYTIME WE TOUCH,DAVID GUETTA,DAVID GUETTA,2,2009,2,2,436680,132.014,4,0,11,-5.063,0.778,0.693
0xXfG13aA486OBoKij2LjD,PJANOO,ERIC PRYDZ,ERIC PRYDZ,2,2009,4,1,208627,130.011,4,0,3,-7.579,0.623,0.869
2Yu3G2JKjuDzM5xNBXej48,LAZY,X-PRESS 2,X-PRESS 2,2,2009,9,4,383413,123.01,4,0,10,-8.356,0.832,0.536
3aub1GpyKYRd1cVN54bnw6,WINDOWLICKER,APHEX TWIN,APHEX TWIN,2,2009,16,3,365640,123.041,4,1,8,-5.097,0.693,0.775
1uBf5co2kKqse63LQTV9i1,FEEL FREE,YVES DERUYTER,YVES DERUYTER,2,2009,27,27,306133,141.286,4,0,11,-10.845,0.91,0.608
1MkcEz7lQmA3a6jYubIhU6,E SAMBA,JUNIOR JACK,JUNIOR JACK,2,2009,31,1,491807,128.006,4,1,0,-6.571,0.779,0.932
1edapjizXWDfcJPt29Jg8Z,OMEN,PRODIGY,PRODIGY,3,2009,1,1,216027,140.002,4,1,7,-5.172,0.545,0.953
5FEXPoPnzueFJQCPRIrC3c,DAY 'N' NITE,KID CUDI,KID CUDI,3,2009,3,1,221267,138.035,4,0,11,-6.362,0.878,0.446
0xXfG13aA486OBoKij2LjD,PJANOO,ERIC PRYDZ,ERIC PRYDZ,3,2009,4,1,208627,130.011,4,0,3,-7.579,0.623,0.869
2n1DgFWP4W1m5me5QIzkbr,EVERYBODY,RUDENKO,RUDENKO,3,2009,7,7,170079,127.05,4,1,0,-3.673,0.727,0.862
11HwAfBm3pROR9wXaYcJUa,EVERYTIME WE TOUCH,DAVID GUETTA,DAVID GUETTA,3,2009,10,2,436680,132.014,4,0,11,-5.063,0.778,0.693
2Yu3G2JKjuDzM5xNBXej48,LAZY,X-PRESS 2,X-PRESS 2,3,2009,12,4,383413,123.01,4,0,10,-8.356,0.832,0.536
1rrVwHrEZPj6kcOnC1TmIv,UNDER THE SUN,KIDDA,KIDDA,3,2009,23,7,313600,128.041,4,1,2,-9.68,0.751,0.753
0A4bLjzcpt15xyoUp4EbEv,TUPAC ROBOT CLUB ROCK,FILTHY DUKES,FILTHY DUKES,3,2009,31,10,268053,122.997,4,1,4,-3.62,0.606,0.976
72lRA680a5ZWu0l14phseH,1998,BINARY FINARY,BINARY FINARY,3,2009,34,34,210680,137.013,4,1,2,-10.769,0.465,0.891
55eFVWZ4lLq8kbJ0VwSfA4,SHOW ME LOVE,STEVE ANGELLO,STEVE ANGELLO,4,2009,1,1,187640,129.951,4,1,5,-4.654,0.635,0.882
7rSn37L6jGaPnOOLBbEwXX,HAPPY UP HERE,ROYKSOPP,ROYKSOPP,4,2009,2,2,163667,103.538,4,1,10,-3.847,0.676,0.877
5FEXPoPnzueFJQCPRIrC3c,DAY 'N' NITE,KID CUDI,KID CUDI,4,2009,4,1,221267,138.035,4,0,11,-6.362,0.878,0.446
0r4IJK5Pxtarue5ocFDKUW,RUNNIN',DOMAN LINCOLN,DOMAN LINCOLN,4,2009,5,4,184760,128.909,4,1,5,-6.308,0.72,0.793
0xXfG13aA486OBoKij2LjD,PJANOO,ERIC PRYDZ,ERIC PRYDZ,4,2009,6,1,208627,130.011,4,0,3,-7.579,0.623,0.869
1rrVwHrEZPj6kcOnC1TmIv,UNDER THE SUN,KIDDA,KIDDA,4,2009,8,7,313600,128.041,4,1,2,-9.68,0.751,0.753
2Yu3G2JKjuDzM5xNBXej48,LAZY,X PRESS 2,X PRESS 2,1,2009,14,4,383413,123.01,4,0,10,-8.356,0.832,0.536
1edapjizXWDfcJPt29Jg8Z,OMEN,PRODIGY,PRODIGY,4,2009,17,1,216027,140.002,4,1,7,-5.172,0.545,0.953
79x3Fmf5gDydAMetyLxs1V,THIS RHYTHM,FILTHY DUKES,FILTHY DUKES,4,2009,18,5,315893,123.018,4,1,10,-4.536,0.618,0.974
6aJzRX2MkP5IigUY7N4QZG,NEEDY GIRL,CHROMEO,CHROMEO,4,2009,29,8,426187,125.996,4,0,2,-4.943,0.784,0.857
2CJSrEwSULybWF5W312HSw,DONKEY RIDE,MR SCRUFF,MR SCRUFF,4,2009,30,16,314333,111.005,4,0,8,-10.064,0.774,0.791
7wDCSb2cUAPCTXrivlcqPH,GUINEA PIG,BEN WATT,BEN WATT,4,2009,35,10,461440,125.016,4,0,11,-12.289,0.666,0.452
0nYrJmcOqwSBMmOVkItFyp,KEEP THIS FIRE BURNING,OUTSIDERS,OUTSIDERS,4,2009,37,2,327453,128.975,4,0,7,-4.12,0.569,0.889
2n1DgFWP4W1m5me5QIzkbr,EVERYBODY,RUDENKO,RUDENKO,4,2009,40,5,170079,127.05,4,1,0,-3.673,0.727,0.862
2UewG8cjdnzq9cMF01dU4M,BASEMENT TRACK,HIGH CONTRAST,HIGH CONTRAST,5,2009,1,1,385239,173.033,4,0,11,-8.161,0.599,0.726
55eFVWZ4lLq8kbJ0VwSfA4,SHOW ME LOVE,STEVE ANGELLO,STEVE ANGELLO,5,2009,3,1,187640,129.951,4,1,5,-4.654,0.635,0.882
0nYrJmcOqwSBMmOVkItFyp,KEEP THIS FIRE BURNING,OUTSIDERS,OUTSIDERS,5,2009,5,2,327453,128.975,4,0,7,-4.12,0.569,0.889
7rSn37L6jGaPnOOLBbEwXX,HAPPY UP HERE,ROYKSOPP,ROYKSOPP,5,2009,6,2,163667,103.538,4,1,10,-3.847,0.676,0.877
1edapjizXWDfcJPt29Jg8Z,OMEN,PRODIGY,PRODIGY,5,2009,7,1,216027,140.002,4,1,7,-5.172,0.545,0.953
1WLPZ0RTQf9BqctdohX8W7,COME OVER,T2,T2,5,2009,8,3,283147,135.228,4,0,2,-6.532,0.664,0.841
1GD7V4nqmlMER23dwnVOvM,UNINVITED,FREEMASONS,FREEMASONS,5,2009,14,1,373747,130.994,4,1,2,-10.457,0.641,0.676
1rrVwHrEZPj6kcOnC1TmIv,UNDER THE SUN,KIDDA,KIDDA,5,2009,15,7,313600,128.041,4,1,2,-9.68,0.751,0.753
5FEXPoPnzueFJQCPRIrC3c,DAY 'N' NITE,KID CUDI,KID CUDI,5,2009,17,1,221267,138.035,4,0,11,-6.362,0.878,0.446
3aub1GpyKYRd1cVN54bnw6,WINDOWLICKER,APHEX TWIN,APHEX TWIN,5,2009,24,3,365640,123.041,4,1,8,-5.097,0.693,0.775
1knvpNT4U9vpFWFeGmbA5P,SHAKE IT,LEE CABRERA,LEE CABRERA,5,2009,27,3,443768,128.012,4,1,0,-6.246,0.801,0.753
3fVAmE4uRiy2OG394XOEit,FEEL THE VIBE,AXWELL,AXWELL,5,2009,39,1,453543,127.997,4,0,11,-3.295,0.67,0.996
0c7Ku2JaVMyejkYLjwxucj,WARRIOR'S DANCE,PRODIGY,PRODIGY,6,2009,2,1,312960,137.015,4,0,5,-5.035,0.579,0.989
4uUz3SYA7xNKcuOvv7PCFO,I REMEMBER,DEADMAU5,DEADMAU5,6,2009,3,2,480067,129.993,4,0,11,-6.773,0.768,0.61
02sVkQwO5pxoOu8QpyUFQq,SHOES,TIGA,TIGA,6,2009,4,3,227747,123.004,4,1,1,-5.141,0.837,0.868
0xXfG13aA486OBoKij2LjD,PJANOO,ERIC PRYDZ,ERIC PRYDZ,6,2009,5,1,208627,130.011,4,0,3,-7.579,0.623,0.869
55eFVWZ4lLq8kbJ0VwSfA4,SHOW ME LOVE,STEVE ANGELLO,STEVE ANGELLO,6,2009,6,1,187640,129.951,4,1,5,-4.654,0.635,0.882
2UewG8cjdnzq9cMF01dU4M,BASEMENT TRACK,HIGH CONTRAST,HIGH CONTRAST,6,2009,7,1,385239,173.033,4,0,11,-8.161,0.599,0.726
1GD7V4nqmlMER23dwnVOvM,UNINVITED,FREEMASONS,FREEMASONS,6,2009,18,1,373747,130.994,4,1,2,-10.457,0.641,0.676
1edapjizXWDfcJPt29Jg8Z,OMEN,PRODIGY,PRODIGY,6,2009,21,1,216027,140.002,4,1,7,-5.172,0.545,0.953
0r4IJK5Pxtarue5ocFDKUW,RUNNIN',DOMAN LINCOLN,DOMAN LINCOLN,6,2009,22,3,184760,128.909,4,1,5,-6.308,0.72,0.793
1NgDxfxAdeW2kf43uvXPte,LUVSTRUCK,SOUTHSIDE SPINNERS,SOUTHSIDE SPINNERS,6,2009,31,8,270000,138.035,4,1,0,-8.647,0.735,0.955
5oH8hyHuyiyZ6HMqCCDURr,GET OUT,US3,US3,6,2009,33,24,303640,188.031,4,1,11,-5.372,0.556,0.859
2UewG8cjdnzq9cMF01dU4M,BASEMENT TRACK,HIGH CONTRAST,HIGH CONTRAST,6,2009,36,4,385239,173.033,4,0,11,-8.161,0.599,0.726
77FULy278MulVvGWS8BfK7,WHEN LOVE TAKES OVER,DAVID GUETTA,DAVID GUETTA,7,2009,1,1,191000,129.984,4,1,11,-4.649,0.665,0.875
2iMtf3iN1CVgoNaWOEZ0ib,HEARTBREAK,FREEMASONS,FREEMASONS,7,2009,2,2,560960,124.999,4,1,2,-7.548,0.66,0.655
7ldmPWVb7hQ8MXdMc2z1uL,RAINDROPS,BASEMENT JAXX,BASEMENT JAXX,7,2009,3,3,248074,125.921,4,1,8,-5.309,0.583,0.921
0c7Ku2JaVMyejkYLjwxucj,WARRIOR'S DANCE,PRODIGY,PRODIGY,7,2009,5,1,312960,137.015,4,0,5,-5.035,0.579,0.989
55eFVWZ4lLq8kbJ0VwSfA4,SHOW ME LOVE,STEVE ANGELLO,STEVE ANGELLO,7,2009,6,1,187640,129.951,4,1,5,-4.654,0.635,0.882
4uUz3SYA7xNKcuOvv7PCFO,I REMEMBER,DEADMAU5,DEADMAU5,7,2009,7,2,480067,129.993,4,0,11,-6.773,0.768,0.61
5FEXPoPnzueFJQCPRIrC3c,DAY 'N' NITE,KID CUDI,KID CUDI,7,2009,8,1,221267,138.035,4,0,11,-6.362,0.878,0.446
1edapjizXWDfcJPt29Jg8Z,OMEN,PRODIGY,PRODIGY,7,2009,9,1,216027,140.002,4,1,7,-5.172,0.545,0.953
1WLPZ0RTQf9BqctdohX8W7,COME OVER,T2,T2,7,2009,14,2,283147,135.228,4,0,2,-6.532,0.664,0.841
